
subtype,conversion,description
Boolean,Cbool(),True or False
Byte,Cbyte(),between 0 and 255
Currency,,between -922_337_203_685_477.5808 and 922_337_203_685_477.5807
Date,Cdate(),between 100.01.01 and 9999.12.31
Double, CDbl(),floating point number
Empty,,uninitialized variant
Error,,VBScript error number
Integer,Cint(),between -32768 and 32767
Long,Clng(),integer between -2_147_483_648 and 2_147_483_647
Null,,a varient set equal to a null value
Object,,an object
Single,,floating point number
String,Cstr(),string up to 2_000_000_000 characters long
